Customer Engineer,Applied Materials South East Asia Pte. Ltd.,42000-84000 SGD Per Annum,Permanent Job,2-5 Years,Scalability  Cloud Computing  Google Cloud Platform  Technical Sales  test equipment  Leadership  Hardware  Interpersonal Skills  Knowledge Management  Problem Solving  Reliability  Strategy  Compliance  Ip  Customer Management  Customer Satisfaction ,"Key Responsibilities
Performs all standard service activities through Tier I unassisted. Performs standard Tier II with assistance. Able to perform routine preventative maintenance within established timeframes. Completes quality repairs.
Responds to fab issues by communicating with other engineers and participating in escalation conference calls. May participate in projects to reduce costs and increase uptime.
Verifies operational quality of system equipment. Assists senior engineers as needed.
Applies diagnostic techniques and use of documentation and test equipment with assistance from senior engineers. Ability to diagnose and resolve technical problems. Uses training and experience to identify some process, software or hardware related system problems.
Strives to perform BKM's. Uses knowledge management systems. Follows all IP guidelines.
Assumes responsibility for complete customer satisfaction within work area. Assists in planning, communicating, and coordinating support plans with customer management.
Complies with all safety procedures and consistently demonstrates safety as a value.
Complies with all safety procedures and consistently demonstrates safety as a value.
Functional Knowledge
Has established skills to perform a range of day-to-day activities
Business Expertise
Understands how the assigned duties relate to others in the team and how the team integrates with others in the discipline
Assumes responsibility for full customer satisfaction assuring excellent relations within assigned area
Leadership
Has no supervisory responsibilities; manages own workload
Problem Solving
Recognizes and solves typical problems that can occur in own work area without supervisory approval; evaluates and selects solutions from established options
Impact
Impacts own team through the quality of the services or information provided; follows standardized procedures and practices and receives regular but moderate supervision and guidance
Interpersonal Skills
Uses communication skills to exchange information",Other,Manufacturing/Engineering/R&D,Other Production/Engineering/R&D,,a month ago
Customer Engineering Manager,Applied Materials South East Asia Pte. Ltd.,78000-156000 SGD Per Annum,Permanent Job,2-5 Years,Cloud Computing  Google Cloud Platform  Software Engineering  Agile  Technical Sales  Account Planning  Customer Relationship  Leadership  announcements  Appraisals  Interpersonal Skills  Problem Solving  Reliability  Compliance  Project Management  Commissioning ,"Key Responsibilities
Develops and maintains customer relationship with all relevant individuals in his/her district at all times, at all levels. Performs regular customer visits.
Manages, coaches and directs all customer engineers in his/her district. Responsible for salary planning, career planning, corrective actions where necessary, establishes objectives and performance appraisals. Gives formal updates to all employees. Business, new hires, new products. Can invite any guest speaker.
Initiates reports necessary for the business. Be the prime interface with the Product Divisions: tech support, training, spares, reliability.
Monitors the CSD Award Program with quarterly results (election, announcements). Monitors the mentor program so that all new engineers have a defined mentor.
Executes escalation procedure.
Responsible for account planning with District Sales Engineer. Provides support plan for system sales to CSD Management, Sales, Field Engineering. Responsible for financial forecast for his/her district. Responsible for cost efficiency with the district. Measured by the financial result.
Responsible for system installation; planning, reporting and execution, pre-facility meeting, start-up meeting, process support identification.
Manages RMA procedure. Measurement of the engineers on their effectiveness. Manages accuracy, understanding and update of Customer Engineer hours tracking. Personal cross check and signature, measures customer engineers, takes corrective action with customer engineers.
Functional Knowledge
Works on issues where analysis of situation or data requires review of relevant factors
Business Expertise
Receives assignments in the form of objectives with goals and the process by which to meet goals. Recommends changes to unit or sub-unit policies. Management reviews work to measure meeting of objectives
Leadership
Provides direction to employees according to established policies and management guidance. Administers company policies that directly affect subordinate employees
Problem Solving
Exercises judgment within defined procedures and policies to determine appropriate action.
Impact
Erroneous decisions or failure to achieve results will cause delays in schedules.
Interpersonal Skills
Interaction normally requires the ability to gain cooperation of others, conducting presentations of technical information concerning specific projects or schedules.
Position requires understanding of Applied Materials global Standards of Business Conduct and compliance with these standards at all times. This includes demonstrating the highest level of ethical conduct reflecting Applied Materials core values.",Other,Manufacturing/Engineering/R&D,Other Production/Engineering/R&D,,a month ago
Cloud Infrastructure Architect,Amazon,Not Specified,Permanent Job,5-8 Years,,"Job Description :
Job summary
Are you a Senior Infrastructure Architect and a subject matter expert in AWS Networks Do you like to solve complex and large-scale compute challenges in the world today We're looking for an experienced network leader in our Global Specialty Practice (GSP) who has the ability to be a change agent for our most strategic customers looking to move their sensitive work loads into the cloud. Candidates should be knowledgeable and have hands-on experience with network concepts including routing, peering, VPNs, DNS, NFW and more. Experience working with customers across various levels, developers, IT professionals, managers, and executives is required and the ability to demonstrate and explain complex solutions. The successful candidate will get the opportunity to work with a wide array of AWS infrastructure architects and specialists, as well as being brought in as the Network expert to meet with customers and partners. This position is for a highly technical Subject Matter Expert that can dive deep, work with customers, and work with internal teams to design next generation Network architectures.

Our team collaborates across the entire AWS organization to bring access to product and service teams, to get the right solution delivered and drive feature innovation based upon customer needs. ProServe engage in a wide variety of projects for customers and partners, providing collective experience from across the AWS customer base and are obsessed about strong success for the Customer.
As a leader in the Global Specialty Practice, you will provide thought leadership and mentoring to the broader ProServe teams across APJC.

Amazon aims to be the most customer-centric company on Earth. Amazon Web Services (AWS) provides a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers critical applications for hundreds of thousands of businesses in 190 countries around the world. At AWS, customer obsession is in our DNA.

This is a customer-facing role. You will be required to travel to client locations and deliver professional services as needed.

About the team
Inclusive Team Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon's culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life balance. It isn't about how many hours you spend at home or at work it's about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we're building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.
Basic Qualifications :
. 5+ years of design, implementation, or consulting experience in applications or infrastructures
. 10+ years within specific technology domain areas (e.g. software development, cloud computing, systems engineering, infrastructure, security, networking, data & analytics)
. 7+ years of experience architecting and implementing enterprise-scale networks or 5+ years and a Master degree in Networking
. Deep knowledge of IPv4 and IPv6 protocols and standards
. Deep knowledge of layer 2 technologies, including MPLS and Ethernet
. Strong track record of implementing AWS services in a variety of distributed computing environments (including experience with Transit Gateway, VPC architecture and configuration, NFW, VPNs, and EC2 load balancing)
. Hands-on experience implementing serverless architectures using AWS Lambda, or similar
. Experience in large-scale infrastructure Architecture experience, including migration experience for DC to DC and/or DC to Cloud
. Strong verbal and written communications skills are a must, as well as the ability to work effectively with customers as well as internal and external organizations and virtual teams
Preferred Qualifications :
. Experience with software development life cycle (SDLC) and agile/iterative methodologies required
. Configuration management using CloudFormation, Terraform, Chef and/or Puppet
. Experience managing data center operations, including data assurance, monitoring, alerting and notifications
. Experience with network virtualization and/or software defined networks
. Demonstrated ability to think strategically about business, product, and technical challenges
. Demonstrated ability to adapt to new technologies and learn quickly",Internet/E-commerce,IT,Software Engineer/Programmer,,20 days ago
Cloud Engineer (Automation),Recruit Expert Pte. Ltd.,48000-66000 SGD Per Annum,Permanent Job,2-5 Years,Puppet  Cloud Applications  Cloud Security  Cloud Computing  cloud management  Cloud Storage  OpenStack  Sdn  Cloud  Zabbix  Ansible  Troubleshooting  Cloud robotics  Cloud-based  Infrastructure  ETSI Standard  Hybrid Cloud ,"In-charge of the design, deployment, installation, provisioning, troubleshooting, and reporting for the Openstack based cloud infrastructure and related Cloud services.
Develop maintenance plans and activities for Cloud infrastructure including application of fixes, security patches and upgrades, capacity increases and other Cloud related maintenance.
Requirements:
Degree in IT/Computer Science or equivalent
At least 3 years of experience in automation with configuration managements tools like Ansible, chef, puppet etc.
Good knowledge of cloud, Hybrid configuration, diversity across platforms.
If you are keen to apply for the position, kindly email your detailed resume in MS Word to [HIDDEN TEXT] Please note that only shortlisted candidates will be notified.
For more job opportunities, please visit our website atwww.recruit-expert.com
EA Licence: 19C9701
Registration: R1326740",Other,IT,Other Software/Hardware/EDP,,a month ago
"Inbound Lead Development Representative, Marketing Response Center",Amazon,Not Specified,Permanent Job,3-6 Years,,"DESCRIPTION

Job summary
Amazon Web Services (AWS) is looking for a talented individual to join the Global Marketing Response Center (MRC) team. Our team is a critical function within the lead and demand generation process, with its mission to profile, nurture and qualify leads generated from various events, campaigns and marketing activities.
We are looking for someone with experience in inbound demand generation and lead management campaigns, to join a new team tasked with increasing the quality of Marketing Inbound Leads through targeted profiling and nurturing activities. In this role, you work with a highly talented, dynamic and fun team, targeting existing leads with campaigns and information designed to improve the lead quality and sales conversion rates.
(ps: this is not a field sales customer facing role)

Roles & Responsibilities:
. Work as part of the Inbound/Lead Nurturing team to build a stronger AWS Lead Database by profiling/researching existing AWS leads to create a detailed view of the customer's need for cloud technology and the sales opportunity.
. Perform calls to nurture leads with information/campaigns to increase their understanding of the AWS portfolio, the value proposition and relevant use cases for AWS services.
. Qualify leads and move them from little interest to warm and active interest help our customers evolve from a stage of Education to a state of Consideration.
. Through tele-profiling, researching and nurturing efforts you will create higher value leads resulting in higher sales conversion rates.
. Work closely with multiple stakeholders (Sales team, Partner team, Marketing team etc) to achieve campaign goals while ensuring exceptional internal & external customer satisfaction.Amazon Web Services (AWS) is a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers hundreds of thousands of enterprise, government and start-up business and organizations globally.
Check out this video to learn more about our team culture: https://www.youtube.com/watchv=KNQXtF56rMw

BASIC QUALIFICATIONS

. Bachelor's degree
. 3+ years of work experience in a fast-paced and highly cross-functional organization - high-tech products/services preferred.
. Proven success in doing business development and marketing calls and juggling multiple projects in a high growth environment where priorities shift fast.
. Excellent oral and written communication skills in English
. Have the ability to listen to customers, understand needs, and ask clarifying/probing questions.
PREFERRED QUALIFICATIONS

. AWS Cloud Practitioner Certification / AWS Certified Solutions Architect - Associate.
. A technical background in Engineering, Computer Science or MIS.
. In-depth knowledge and understanding of existing and developing technologies related to cloud computing: understand and identify opportunities for customers.
. Advanced Salesforce.com experience including the development of dashboards and reports.
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.",Internet/E-commerce,"IT , Digital Marketing , Marketing & Communications , Marketing Research & Analysis",Software Engineer/Programmer,,20 days ago
SENIOR IT SUPPORT ADMINISTRATOR,Yin Corporate Services Pte Ltd,42000-48000 SGD Per Annum,Permanent Job,2-5 Years,Help Desk Support  System Administration  Broadband  Vpn  Troubleshooting  Service Management  Video Production  Inventory Control  Audit  security awareness  Able To Work Independently  Leadership Skills ,"Job Description:
IT Management, IT SUPPORT, Network Administration, Service Management, System Administration, Technical Support, Vendor Management.
IT/Computer - Hardware, IT/Computer - Hardware, IT/Computer Network/System/Database Admin, Technical & Helpdesk Support.
Installation and setting up of office broadband, firewall, servers, routers, workstations, relocation of offices.
Data Protection and Retention, Server and Storage Consolidation, Virtualization and Cloud Computing Solutions.
Inventory control of laptops and licenses and maintain serial numbers.
To initiate write-offs and approval for disposal of assets.
Monitoring, Assigning and Purchase Requisition of Laptops and Licenses.
Evaluate the performance and support level of the various PCs and laptops and make the necessary recommendations on future purchases.
Provide Technical and Help Desk Support.
VPN Set Up.
Migration of Servers.
Providing support (Remote Access, Teamviewer support, chat) to end user
Conduct periodic internal compliance audit to eliminate illegal downloading of software and programs.
Opportunity to work in a start-up spin-off.
IT Compliance and Audit Coordination
Review and Develop IT Policy
Drive Security Awareness
Maintain laptops for troubleshooting, security etc
Responsible for cybersecurity of our system
Have to administer applications like MS Teams, CCH Engagements, RPA.
Added advantage able to assist with RPA, videos production and editing
Job Requirements
Bachelor Degree in Computer Science and /or with IT-related discipline in relevant professional certifications such as CISA, CISM, CISSP etc.
Minimum of 3 years work experience in IT Security related role with strong understanding of cybersecurity frameworks and standards required for IT.
Network Supervision.
Automation Champion.
Familiar with Multi-Media Software is an advantage but not a requirement.
Able to work independently with minimum supervision.
Possess initiative and be self-motivated, with a thirst for knowledge, enthusiasm towards emerging technologies and how these can impact the organization.
Knowledge of Video production and Editing
Excellent communication and leadership skills.
Able to multi-task in all IT related matters.",Other,IT,Other Software/Hardware/EDP,,20 days ago
"GSI Partner Development Manager, APJ Lead",Amazon,Not Specified,Permanent Job,10-13 Years,,"DESCRIPTION

Job summary
Amazon Web Services (AWS) is leading the next paradigm shift in computing and is looking for an experienced Partner Development Manager (PDM) to lead one of our strategic Global System Integrators (GSI). As a PDM within AWS, you will have the exciting opportunity to deliver on our strategy to build mind share and adoption of the AWS cloud computing platform with one of our largest partners. Responsibilities include: development and execution of partner strategy owning the executive relationships with key partners, creating pipeline, driving sales execution, empowering large cloud practices and much more.

By establishing and growing business and technical relationships, along with managing the day-to-day interactions, you will be responsible for driving top line revenue growth and overall market adoption. The ideal candidate will possess business/channel sales background that enables them to engage at the MD/ VP/ CEO level, as well as a sales background that enables them to grow pipeline. The ideal candidate will also have a demonstrated ability to think strategically about business, products and technical challenges, with the ability to build and convey compelling value propositions.

Roles & Responsibilities:
. Experience working with enterprise large partners to develop and execute a partnering strategy, training, and joint sales and Go to Market (GTM) programs.
. Engage the partner field sales organization, channels and end customers to create and drive revenue opportunities for both parties.
. Define a strategic Partner Plan and ensure it's in line with the AWS strategic direction. This includes developing establishing a process to track the progress toward goals.
. Set and manage revenue targets and work with the partners and AWS sales organizations to achieve/exceed goals.
. Identify specific customer segments and industry verticals to approach with a joint value proposition for using AWS.
. Experience with CRM systems, data warehousing and other analytic tools to establish detailed metrics for tracking purposes.
. Deliver strategic business reviews to the senior leadership team.
. Manage complex contract negotiations involving legal, marketing and business terms.
. Position based in Singapore.
BASIC QUALIFICATIONS

. 10+ years of sales and/or partner development experience in the software/technology industry.
. Demonstrated ability to engage and influence C-level executives
. Influence and manage internal & external stakeholders to work together for a common goal
. Consistently exceeds quota and key performance metrics, with hands on experience negotiating enterprise contracts
. Strong language (English) public speaking and writing skills and the ability to articulate complex concepts to cross functional audiences
. Strong technical and/or business solutions acumen, with a demonstrated track record of driving emerging/ disruptive technologies
. Ability to think and work creatively to develop unique joint value propositions and product strategy within AWS and in the partner's organization
. Ability to think big, be bold, set clear multi-year partnership direction
PREFERRED QUALIFICATIONS

. Prior experience in large scale, enterprise sales, partner/channel sales and/or business development roles
. Prior experience working with/for GSIs in customer facing roles
.
. Understands software technologies, including SaaS and Cloud
. Experience using Salesforce.com, Excel, Tableau and other data & analytics business tool
. Post Graduate IT or MBA degrees
. AWS Certified
. Multilingual, Thai or Bahasa

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.",Internet/E-commerce,Sales/Business Development,,,20 days ago
Undergraduate Intern,Vmware,Not Specified,Permanent Job,Not Specified,,"Job Description :

Undergraduate Intern - Software Engineering
At Dell, we are committed to bringing innovation to people everywhere and organizations of all shapes and s so they can transform and thrive in the digital economy.

We are looking for interns who are comfortable taking accountability and can adapt easily to meet the needs of our rapidly evolving business. The ideal intern is customer focused, results driven, innovative, works well on a team, and acts with integrity.
You will also be responsible for the following:
Collecting requirements from stakeholders and define the software specification
Designing and implementing a web application, both frontend and backend

What you can learn:
Frontend libraries and frameworks, such as React, Vue or Angular
Backend stack such as Nodejs or Python
NoSQL database
Cloud computing

You are our candidate if you:
Demonstrate a hunger for new knowledge and the ability to quickly source, test and demo ideas
Are an excellent communicator and able to thrive in a fluid, flexible and at times ambiguous innovation environment
Possess basic understanding of software development lifecycles using Agile
Possess strong analytical, effective problem-solving, and debugging skill

Dell Technologies is a unique family of businesses that helps organizations and individuals build their digital future and transform how they work, live and play-providing customers with the industry's broadest and most innovative technology and services portfolio. We value our customers, winning together, innovation, results and integrity. Grow your career with a highly competitive salary, bonus programs, world-class benefits and unparalleled learning and development opportunities- all at a company that is proud to be diverse and inclusive. Learn moreonhow we are closing the diversity gap

Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Dell encourages applicants of all ages. Read the full Equal Employment Opportunity Policy.",Other,IT,Software Engineer/Programmer,,20 days ago
Senior Solutions Architect - Search Specialist,Amazon,Not Specified,Permanent Job,5-8 Years,,"DESCRIPTION

Job summary
Amazon is where innovation, risks, and ideas are celebrated. We are builders. We try new things and dream dreams. At Amazon Web Services, we are inventing the future of cloud computing. is where the cloud first came to life. Now we're inventing for the decades ahead. It is still Day 1 for us, and we are looking for curious people to be part of our diverse teams of thinkers, testers, and doers. Come join us and work with the latest cloud computing technologies that enable our customers to do more with their technology and change the world in their respective industries.

We are looking for a Search Specialist Solutions Architect to join our team. This individual will serve as a Subject Matter Expert (SME) for helping customers leverage the search services on to solve their management needs. You will work with teams of focused builders whose ability to invent is only limited by their imaginations. As a trusted customer advocate, the solutions architect will help organizations understand advanced cloud-based solutions and how to migrate existing workloads to the cloud. You will have the opportunity to help shape and execute a strategy to build mind share and broad use of within organizations ranging from new start-ups to large enterprise customers. The ability to link technology with measurable business value is critical to a solutions architect.

Key job responsibilities
Design customer solutions by working with existing and potential customers to deeply understand their business and technical needs. Develop solutions that make the best use of the cloud platform and analytics services. Collaborate with field sales, training, and support teams to ensure customer success.

Exhibit thought leadership through evangelizing services and analytics Solutions that benefit customers. Share best practices through forums such as blogs, whitepapers, reference architectures, and public speaking events.

Partner with customer account teams, business development managers and analytics service teams to accelerate customer adoption.

Act as technical liaison between customers and the service engineering teams, providing product improvement feedback to developers and accelerating the adoption of new features in customer deployments.

Assist solution providers with the definition and implementation of technical and business strategies.

Develop and support the internal community of analytics technologists.

A day in the life
Watch this video to find out what it's like to be a Solutions Architect at AWS

About the team
This role is part of the ASEAN team, working with AWS customers based out of our Singapore office. You will work directly with customers from large established and unicorn businesses to those who are the early stages of their cloud journey in the startup space.
BASIC QUALIFICATIONS

5+ years of experience in modern Search technologies (including Solr, Elasticsearch, Lucene, etc. )
3+ years of experience in infrastructure architecture, database architecture and networking
6+ year's work experience in technical role in lieu of no Bachelor's degree.
Undergraduate degree in Computer , Technology, Engineering, Math

PREFERRED QUALIFICATIONS

Graduate degree in Computer , Technology, Engineering or Math.
Experience architecting, operating cloud-based solutions.
AWS Solution Architecture certification or relevant cloud expertise.
Experience migrating or transforming legacy customer solutions to the cloud.
Working knowledge of software development tools and methodologies.
Demonstrated ability to adapt to new technologies and learn quickly.
Ability to present with a high degree of comfort speaking with executives, IT Management, and developers
Experience in technology/software sales or pre-sales consulting.
Experience with a programming or scripting language.
Company- or regional-level recognition in the fields (conference presentations, Meet-Ups, etc).
Ability to understand complex application flows and bridge the gap between technical and business app requirements.
Operational experience working with website/web services as well as traditional IT networking, operations, management, and security experience.
Excellent written and verbal communication skills.",Internet/E-commerce,IT,Software Engineer/Programmer,,21 days ago
SENIOR IT SUPPORT ADMINISTRATOR,K Y Chiang Llp,42000-48000 SGD Per Annum,Permanent Job,2-5 Years,Network Administration  Laptops  Help Desk Support  System Administration  Broadband  Vpn  Troubleshooting  Hardware  Service Management  Video Production  Inventory Control  It Management  Audit  security awareness  Able To Work Independently  Leadership Skills ,"Job Description;
IT Management, IT SUPPORT, Network Administration, Service Management, System Administration, Technical Support, Vendor Management.
IT/Computer - Hardware, IT/Computer - Hardware, IT/Computer Network/System/Database Admin, Technical & Helpdesk Support.
Installation and setting up of office broadband, firewall, servers, routers, workstations, relocation of offices.
Data Protection and Retention, Server and Storage Consolidation, Virtualization and Cloud Computing Solutions.
Inventory control of laptops and licenses and maintain serial numbers.
To initiate write-offs and approval for disposal of assets.
Monitoring, Assigning and Purchase Requisition of Laptops and Licenses.
Evaluate the performance and support level of the various PCs and laptops and make the necessary recommendations on future purchases.
Provide Technical and Help Desk Support.
VPN Set Up.
Migration of Servers.
Providing support (Remote Access, Teamviewer support, chat) to end user
Conduct periodic internal compliance audit to eliminate illegal downloading of software and programs.
Opportunity to work in a start-up spin-off.
IT Compliance and Audit Coordination
Review and Develop IT Policy
Drive Security Awareness
Maintain laptops for troubleshooting, security etc
Responsible for cybersecurity of our system
Have to administer applications like MS Teams, CCH Engagements, RPA.
Added advantage able to assist with RPA, videos production and editing.
Job Requirements;
Bachelor Degree in Computer Science and /or with IT-related discipline in relevant professional certifications such as CISA, CISM, CISSP etc.
Minimum of 3 years work experience in IT Security related role with strong understanding of cybersecurity frameworks and standards required for IT.
Network Supervision.
Automation Champion.
Familiar with Multi-Media Software is an advantage but not a requirement.
Able to work independently with minimum supervision.
Possess initiative and be self-motivated, with a thirst for knowledge, enthusiasm towards emerging technologies and how these can impact the organization.
Knowledge of Video production and Editing
Excellent communication and leadership skills.
Able to multi-task in all IT related matters.",Other,IT,Other Software/Hardware/EDP,,20 days ago
"Business Development Manager, Public Sector Startups",Amazon,Not Specified,Permanent Job,8-11 Years,,"DESCRIPTION

Job summary
Would you like to own building the future in the Cloud Computing business across the Public Sector startup community Would you like to be part of a team focused on helping emerging startups that run on AWS expand and grow their business Do you have the business savvy and Government, Health, Civil Service business development experience to help our emerging startups take their business to the next level AWS Startup Ramp, the AWS public sector startup accelerator, is designed to help entrepreneurs build the next generation of robust, scalable innovation in Public Sector.

We have an exciting opportunity available for a Startup Business Development Manager (BDM) to join our AWS Public Sector team and help engage, grow, and scale the top public sector startups in the world on AWS. This will be done in collaboration with the program team and regional sales counterparts to identify, accelerate, and win sales and business development opportunities with top startup customers and prospects. If you have a passion for technology and the ability to get people excited about AWS Startup Ramp, especially within the fast paced, energetic startup ecosystem, then this is the role for you.

Key job responsibilities
The BDM will be business savvy, have strong technical insight, robust relationship development skills and the background necessary to establish credibility and earn trust within the startups/VC/A&I ecosystem and to help further establish AWS as the leading cloud computing platform in the public sector startup domain. You will identify and track trends to build both solutions and campaigns to enable the sales teams to drive their day-to-day interactions with key prospects. You will work closely with AWS Solutions Architects and technical teams to develop and promote cloud patterns and solutions for the industry.

. Serve as a key member of the Public Sector team to drive overall AWS market and technical strategy for the startup community.
. Define and execute on a strategic market development plan and ensure it is in alignment with the AWS strategic direction, in partnership with key internal stakeholders (e.g. sales teams, service teams, legal, support, etc.)
. Define and segments, identify and engage target customers, and identify and engage key partners
. Build business development pipeline by engaging with key prospects and partners
. Understand the technical requirements of our customers and work closely with the internal development teams to guide the direction of our product offerings.
. Understand the use of salesforce.com and other internal Amazon systems.
Present business reviews and provide escalation material to the senior management team regarding progress and roadblocks to expanding our reach in the industry.
. Manage complex contract negotiations and liaise effectively with the legal group.
. Handle a high volume of special projects, engagements and interactions in the fast pace of the cloud computing market.

A day in the life
This is a role that will be collaborative and dynamic. Learning on the job about country, regional and global trends and requirements for startups to flourish. The role will go back to the drawing board to build and iterate scalable interventions to help our startups grow, transform and scale their business. Be it sustainable cities, smart nations or empowered healthcare, we want to help founders and startups be successful!

About the team
We are a team of EdTech passionate people that love working at the bleeding edge of innovation. Our startups are doing this everyday and we want to help them do it better, faster. Our mission is to support the learning outcomes of all generations across the region, through supporting and empowering our EdTech community.
BASIC QUALIFICATIONS

8+ years work experience, with focus on Public Sector, Startups highly valued.

Ability to operate in Asia, supporting the diversity and dynamism of the region.

Programmatic mindset with a desire to scale quickly.

Experience in cloud computing preferred.
PREFERRED QUALIFICATIONS

Understanding of AWS technologies
Operationally savvy
Keen to build best practices, recipe books for success to drive sustainable team growth.

#aws-sgp-pubsec-ap",Internet/E-commerce,Public Relations,,,21 days ago
"Inbound Lead Development Representative, Marketing Response Center",Amazon Web Services (AWS),Not Specified,Permanent Job,3-6 Years,,"DESCRIPTION

Job summary
Amazon Web Services (AWS) is looking for a talented individual to join the Global Marketing Response Center (MRC) team. Our team is a critical function within the lead and demand generation process, with its mission to profile, nurture and qualify leads generated from various events, campaigns and marketing activities.
We are looking for someone with experience in inbound demand generation and lead management campaigns, to join a new team tasked with increasing the quality of Marketing Inbound Leads through targeted profiling and nurturing activities. In this role, you work with a highly talented, dynamic and fun team, targeting existing leads with campaigns and information designed to improve the lead quality and sales conversion rates.
(ps: this is not a field sales customer facing role)

Roles & Responsibilities:
. Work as part of the Inbound/Lead Nurturing team to build a stronger AWS Lead Database by profiling/researching existing AWS leads to create a detailed view of the customer's need for cloud technology and the sales opportunity.
. Perform calls to nurture leads with information/campaigns to increase their understanding of the AWS portfolio, the value proposition and relevant use cases for AWS services.
. Qualify leads and move them from little interest to warm and active interest help our customers evolve from a stage of Education to a state of Consideration.
. Through tele-profiling, researching and nurturing efforts you will create higher value leads resulting in higher sales conversion rates.
. Work closely with multiple stakeholders (Sales team, Partner team, Marketing team etc) to achieve campaign goals while ensuring exceptional internal & external customer satisfaction.Amazon Web Services (AWS) is a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers hundreds of thousands of enterprise, government and start-up business and organizations globally.
Check out this video to learn more about our team culture: https://www.youtube.com/watchv=KNQXtF56rMw

BASIC QUALIFICATIONS

. Bachelor's degree
. 3+ years of work experience in a fast-paced and highly cross-functional organization - high-tech products/services preferred.
. Proven success in doing business development and marketing calls and juggling multiple projects in a high growth environment where priorities shift fast.
. Excellent oral and written communication skills in English
. Have the ability to listen to customers, understand needs, and ask clarifying/probing questions.
PREFERRED QUALIFICATIONS

. AWS Cloud Practitioner Certification / AWS Certified Solutions Architect - Associate.
. A technical background in Engineering, Computer Science or MIS.
. In-depth knowledge and understanding of existing and developing technologies related to cloud computing: understand and identify opportunities for customers.
. Advanced Salesforce.com experience including the development of dashboards and reports.
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.",IT/Computers - Software,"IT , Digital Marketing , Marketing & Communications , Marketing Research & Analysis",Software Engineer/Programmer,,20 days ago
